desktop,1280x600,"27,730",13.73%,"3,808",15.54%,7.28,00:09:25,0,$0.00,0.00%
desktop,1040x660,"27,543",55.80%,"15,369",17.95%,1.44,00:01:13,0,$0.00,0.00%
desktop,1520x730,"26,734",9.31%,"2,488",13.90%,8.26,00:12:06,0,$0.00,0.00%
desktop,1440x760,"26,268",7.58%,"1,990",17.12%,8.95,00:13:57,0,$0.00,0.00%
desktop,1900x960,"26,247",17.51%,"4,595",10.88%,7.61,00:09:36,0,$0.00,0.00%
desktop,1020x680,"25,554",75.19%,"19,213",5.41%,241.10,00:28:52,0,$0.00,0.00%
desktop,1920x920,"25,235",5.81%,"1,465",18.02%,8.71,00:11:37,0,$0.00,0.00%
desktop,1260x590,"25,059",8.03%,"2,013",14.24%,8.19,00:11:12,0,$0.00,0.00%
desktop,1040x780,"24,850",77.16%,"19,175",15.86%,1.13,00:00:25,0,$0.00,0.00%
desktop,1030x580,"24,578",94.40%,"23,201",4.94%,146.30,00:31:02,0,$0.00,0.00%
desktop,1280x670,"23,990",12.03%,"2,885",14.14%,8.39,00:11:03,0,$0.00,0.00%
desktop,1260x610,"23,876",33.96%,"8,109",4.50%,7.42,00:09:04,0,$0.00,0.00%
desktop,1260x580,"23,316",34.85%,"8,125",7.54%,7.83,00:08:40,0,$0.00,0.00%
desktop,1280x880,"23,049",12.55%,"2,893",15.68%,7.49,00:09:49,0,$0.00,0.00%
desktop,1370x590,"22,905",13.29%,"3,045",15.32%,6.36,00:11:56,0,$0.00,0.00%
desktop,1280x660,"22,703",9.82%,"2,230",17.52%,8.78,00:12:55,0,$0.00,0.00%
desktop,1260x560,"22,558",3.91%,881,14.81%,8.38,00:11:54,0,$0.00,0.00%
desktop,1440x820,"22,363",17.02%,"3,806",14.31%,7.51,00:09:44,0,$0.00,0.00%
desktop,1370x670,"21,785",11.96%,"2,606",16.07%,7.43,00:10:09,0,$0.00,0.00%
desktop,1370x690,"21,446",56.46%,"12,108",14.40%,86.21,00:28:50,0,$0.00,0.00%
desktop,1750x850,"21,438",3.55%,760,15.51%,8.41,00:16:18,0,$0.00,0.00%
desktop,1030x610,"21,161",95.17%,"20,139",3.93%,148.81,01:20:37,0,$0.00,0.00%
desktop,1010x660,"21,010",88.25%,"18,542",4.82%,270.57,00:36:38,0,$0.00,0.00%
desktop,1280x740,"20,641",16.77%,"3,462",16.17%,7.45,00:10:23,0,$0.00,0.00%
desktop,1370x610,"20,558",16.67%,"3,426",14.81%,17.01,00:12:21,0,$0.00,0.00%
desktop,1370x580,"19,502",9.16%,"1,787",14.52%,8.38,00:11:36,0,$0.00,0.00%
desktop,1370x770,"19,357",13.70%,"2,651",21.33%,8.72,00:12:02,0,$0.00,0.00%
desktop,1020x600,"19,132",85.64%,"16,385",3.06%,66.98,00:07:11,0,$0.00,0.00%
desktop,1350x600,"19,054",14.61%,"2,784",12.06%,9.43,00:10:55,0,$0.00,0.00%
desktop,1280x710,"18,130",11.97%,"2,170",19.49%,7.73,00:11:17,0,$0.00,0.00%
desktop,1280x640,"18,105",10.57%,"1,914",16.13%,7.81,00:11:36,0,$0.00,0.00%
desktop,1900x900,"17,611",6.79%,"1,196",17.36%,7.88,00:11:05,0,$0.00,0.00%
desktop,1280x910,"17,557",12.15%,"2,133",17.54%,8.00,00:10:46,0,$0.00,0.00%
desktop,1440x740,"17,498",11.74%,"2,054",17.53%,7.61,00:10:06,0,$0.00,0.00%
desktop,1280x960,"17,452",96.27%,"16,801",56.36%,1.85,00:00:40,0,$0.00,0.00%
desktop,1240x570,"17,003",5.36%,912,14.01%,7.55,00:11:55,0,$0.00,0.00%
desktop,1440x800,"16,799",12.56%,"2,110",18.35%,7.85,00:09:48,0,$0.00,0.00%
desktop,1920x1010,"16,606",6.16%,"1,023",19.80%,7.03,00:09:18,0,$0.00,0.00%
desktop,930x890,"16,481",94.45%,"15,567",4.40%,252.70,00:38:14,0,$0.00,0.00%
desktop,1280x680,"16,460",10.80%,"1,778",14.82%,7.66,00:10:24,0,$0.00,0.00%
desktop,1260x880,"16,213",38.21%,"6,195",4.23%,6.86,00:07:38,0,$0.00,0.00%
desktop,1280x590,"15,560",6.53%,"1,016",18.70%,7.89,00:11:01,0,$0.00,0.00%
desktop,1920x910,"15,471",13.33%,"2,062",15.67%,6.49,00:07:59,0,$0.00,0.00%
desktop,1040x1610,"15,443",98.43%,"15,200",26.96%,9.70,00:01:34,0,$0.00,0.00%
desktop,1440x810,"15,394",17.38%,"2,675",14.69%,8.60,00:11:33,0,$0.00,0.00%
desktop,1440x700,"14,791",10.16%,"1,503",16.58%,8.55,00:11:29,0,$0.00,0.00%
desktop,1440x710,"14,771",9.27%,"1,369",14.68%,10.28,00:12:14,0,$0.00,0.00%
desktop,1860x980,"14,584",4.25%,620,16.72%,9.50,00:13:04,0,$0.00,0.00%
desktop,1230x580,"14,560",4.41%,642,18.68%,6.57,00:10:49,0,$0.00,0.00%
desktop,1520x700,"14,508",6.47%,938,14.08%,8.44,00:13:47,0,$0.00,0.00%
desktop,1540x760,"14,474",7.41%,"1,072",18.65%,7.37,00:09:35,0,$0.00,0.00%
desktop,1900x980,"14,425",36.49%,"5,264",9.20%,8.46,00:09:46,0,$0.00,0.00%
desktop,1370x800,"14,381",8.08%,"1,162",15.91%,11.08,00:15:08,0,$0.00,0.00%
desktop,1020x770,"14,361",85.15%,"12,228",59.47%,2.06,00:01:14,0,$0.00,0.00%
desktop,1920x900,"14,179",6.68%,947,14.19%,7.94,00:11:04,0,$0.00,0.00%
desktop,990x650,"14,141",94.51%,"13,365",2.11%,299.93,00:46:57,0,$0.00,0.00%
desktop,1440x750,"13,968",12.11%,"1,691",13.91%,9.80,00:12:01,0,$0.00,0.00%
desktop,1680x940,"13,673",13.78%,"1,884",16.49%,10.70,00:13:41,0,$0.00,0.00%
desktop,980x1610,"13,644",38.93%,"5,312",43.60%,4.83,00:06:18,0,$0.00,0.00%
desktop,1440x720,"13,597",13.75%,"1,870",14.48%,8.52,00:11:18,0,$0.00,0.00%
